@relation testKNN_predicted-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute feiji numeric
@attribute binqilin numeric
@attribute youxi numeric
@attribute leixing {largeDoses,smallDoses,didntLike}

@data
0.448325,0.398051,0.562334,largeDoses
0.158733,0.341955,0.987244,smallDoses
0.285429,0.068925,0.474496,didntLike
0.823201,0.62848,0.252489,didntLike
0.420102,0.07982,0.078578,didntLike
0.799722,0.484802,0.608961,didntLike
0.393851,0.32653,0.715335,largeDoses
0.467455,0.634645,0.320312,largeDoses
0.739507,0.412612,0.441536,didntLike
0.388757,0.58669,0.88936,largeDoses
0.550459,0.177993,0.490309,didntLike
0.69325,0.400867,0.984636,didntLike
0.061015,0.233059,0.429367,smallDoses
0.559333,0.223721,0.368321,didntLike
0.847699,0.73136,0.194879,didntLike
0.478488,0.090321,0.112212,didntLike
0.672313,0.359321,0.748369,didntLike
0.763347,0.680671,0.153555,didntLike
0.171672,0,0.737168,smallDoses
0.312119,0.503293,0.769428,largeDoses
0.071072,0.169234,0.484741,smallDoses
0.413134,0.143004,0.491491,didntLike
0.247828,0.253252,0.376041,smallDoses
0.31534,0.315201,0.109748,largeDoses
0.216263,0.134649,0.994506,smallDoses
0.403055,0.595538,0.382717,largeDoses
0.062899,0,0.976924,smallDoses
0.312984,0.476528,0.430886,largeDoses
0.074589,0.065243,0.377102,smallDoses
0.455896,0.011016,0.679218,didntLike
0.401663,0.567197,0.520346,largeDoses
0.477743,0.005758,0.797266,didntLike
0.168286,0.408483,0.79043,largeDoses
0.698958,0.279963,0.093752,didntLike
0.117702,0.462042,0.458857,smallDoses
0.775783,0.467451,0.639148,didntLike
0.788963,0.235809,0.372335,didntLike
0.064795,0.105942,0.345817,smallDoses
0.16271,0.683847,0.372507,largeDoses
0.367611,0.601925,0.404533,largeDoses
0.492501,0.163707,0.592169,didntLike
0.196487,0,0.086414,smallDoses
0.303901,0.407939,0.120499,largeDoses
0.320905,0.469877,0.14015,largeDoses
0.463774,0.549357,0.154833,largeDoses
0.399121,0.170702,0.490508,didntLike
0.434115,0.084669,0.121849,didntLike
0.355023,0.167975,0.584703,didntLike
0.298752,0.210244,0.57477,didntLike
0.060007,0.204443,0.69272,smallDoses
0.156169,0.284235,0.952033,smallDoses
0.751734,0.659627,0.426839,didntLike
0.455107,0.496841,0.981236,largeDoses
0.08674,0.14377,0.174783,smallDoses
0.233705,0.049329,0.286254,smallDoses
0.091352,0.22712,0.037499,smallDoses
0.056709,0.1765,0.976154,smallDoses
0.20798,0.499446,0.157284,largeDoses
0.754188,0.506028,0.19382,didntLike
0.147229,0.076699,0.040079,smallDoses
0.535197,0.17589,0.566768,didntLike
0.134596,0.181418,0.410502,smallDoses
0.085743,0.121031,0.97855,smallDoses
0.060971,0.465279,0.576377,smallDoses
0.113352,0.291265,0.833731,smallDoses
0.019973,0.3687,0.621928,smallDoses
0.106757,0.548314,0.448136,largeDoses
0.184688,0.137984,0.550804,smallDoses
0.430971,0.480626,0.671165,largeDoses
0.714669,0.47671,0.519795,didntLike
0.026985,0.111657,0.805607,smallDoses
0.299683,0.543762,0.901502,largeDoses
0.177391,0,0.35675,smallDoses
0.1343,0.197271,0.210312,smallDoses
0.464288,0.30209,0.624097,didntLike
0.280554,0.414952,0.050638,largeDoses
0.848553,0.710175,0.666131,didntLike
0.643476,0.117321,0.130565,didntLike
0.50865,0.348586,0.323102,largeDoses
0.358134,0.418041,0.505319,largeDoses
0.710944,0.410099,0.402448,didntLike
0.093719,0.119856,0.5123,smallDoses
0.316205,0.54569,0.887833,largeDoses
0.460706,0.231295,0.991368,didntLike
0.352711,0.494256,0.343782,largeDoses
0.710999,0.314242,0.678885,didntLike
0.025802,0.3126,0.272025,smallDoses
0,0.105604,0.426362,smallDoses
0.771378,0.535216,0.492911,didntLike
0.628872,0.202186,0.075012,didntLike
0.457222,0.454409,0.00243,largeDoses
0.125218,0.413623,0.795449,largeDoses
0.824669,0.817478,0.288933,didntLike
0.05981,0.376295,0.422877,smallDoses
0.805496,0.394952,0.802952,didntLike
0.441302,0.430971,0.978185,largeDoses
0.235995,0.440518,0.475463,largeDoses
0.193858,0.304742,0.019194,smallDoses
0.24464,0.10813,0.602595,didntLike
0.510228,0.271381,0.418041,didntLike
0.464573,0.539836,0.122064,largeDoses
0.368718,0.315021,0.797918,didntLike
0.100479,0.225244,0.113914,smallDoses
0.308109,0.419138,0.653276,largeDoses
0.37355,0.549851,0.32103,largeDoses
0.019436,0.223851,0.340515,smallDoses
0.439681,0.594979,0.176821,largeDoses
0.15332,0.617055,0.977694,largeDoses
0.844324,0.602366,0.574477,didntLike
0.122818,0.187838,0.014348,smallDoses
0.067074,0.466148,0.696955,largeDoses
0.168078,0.1455,0.523508,smallDoses
0.486157,0.209926,0.475663,didntLike
0.311746,0.559065,0.400068,largeDoses
0.698684,0.376672,0.090363,didntLike
0.100983,0.268324,0.550341,smallDoses
0.756807,0.436924,0.501749,didntLike
0.268305,0.203574,0.121424,didntLike
0.184841,0.32505,0.720044,smallDoses
0.435792,0.418405,0.285218,largeDoses
0.064652,0.053684,0.695953,smallDoses
0.449059,0.517858,0.935025,largeDoses
0.081941,0.145875,0.015124,smallDoses
0.424748,0.253756,0.017427,largeDoses
0.054047,0.088043,0.015902,smallDoses
0.354004,0.108129,0.946933,didntLike
0.290349,0.553253,0.625717,largeDoses
0.410121,0.384274,0.639034,largeDoses
0.257502,0.513114,0.06053,largeDoses
0.751668,0.461865,0.206341,didntLike
0.303945,0.430503,0.323178,largeDoses
0.123837,0,0.317509,smallDoses
0,0.275206,0.626323,smallDoses
0.358584,0.438095,0.958125,largeDoses
0.269729,0.06302,0.846978,didntLike
0.464694,0.672851,0.410053,largeDoses
0.221424,0.483168,0.771525,largeDoses
0.364018,0.380523,0.719212,largeDoses
0.596924,0.301983,0.010065,didntLike
0.202415,0.605382,0.350868,largeDoses
0.371698,0.138945,0.342608,didntLike
0.480591,0.114164,0.538718,didntLike
0.290853,0.287986,0.286278,largeDoses
0.486497,0.345458,0.740204,largeDoses
0.182683,0.200006,0.751985,smallDoses
0.088997,0.566471,0.646748,largeDoses
0.468342,0.557465,0.688625,largeDoses
0.614136,0.170893,0.291266,didntLike
0.119784,0,0.062749,smallDoses
0.198536,0.379441,0.533324,largeDoses
0.123498,0.160857,0.597824,smallDoses
0.178552,0,0.216208,smallDoses
0.308613,0.662577,0.762597,largeDoses
0.448796,0.492688,0.714392,largeDoses
0.347145,0.345518,0.395142,largeDoses
0.604385,0.21553,0.610871,didntLike
0.192773,0.017511,0.095904,smallDoses
0.0204,0.157722,0.338768,smallDoses
0.625453,0.027405,0.358105,didntLike
0.691135,0.439007,0.006565,didntLike
0.561097,0.374899,0.625298,largeDoses
0.071072,0.227109,0.328787,smallDoses
0.052644,0.5468,0.917855,largeDoses
0.331993,0.39404,0.661968,largeDoses
0.752468,0.379984,0.159771,didntLike
0.19273,0.376469,0.133342,smallDoses
0.815038,0.457428,0.214653,didntLike
0.407755,0.370475,0.512251,largeDoses
0.469076,0,0.893633,didntLike
0.161472,0.162339,0.373487,smallDoses
0.217983,0.569621,0.014246,largeDoses
0.160759,0.022025,0.406307,smallDoses
0.350717,0.62562,0.280251,largeDoses
0.64352,0.219367,0.986475,didntLike
0.599783,0.401409,0.904735,didntLike
0.323009,0.265915,0.996383,didntLike
0.303463,0.521295,0.364701,largeDoses
0.125371,0.06269,0.689777,smallDoses
0.614826,0.508963,0.57779,largeDoses
0.432921,0,0.283742,didntLike
0.291729,0.406467,0.489686,largeDoses
0.18105,0.020884,0.822822,smallDoses
0.266979,0.292928,0.649816,didntLike
0.242788,0.579009,0.211598,largeDoses
0.066066,0.060469,0.673071,smallDoses
0.070864,0.290046,0.782532,smallDoses
0.251389,0.382945,0.991815,largeDoses
0.202908,0.181224,0.178779,smallDoses
0.382523,0.56279,0.744508,largeDoses
0.067063,0.398654,0.851177,smallDoses
0.417024,0.122523,0.863368,didntLike
0.256483,0.284627,0.562233,didntLike
0.384265,0.444009,0.452183,largeDoses
0.579733,0.190101,0.614953,didntLike
0.184074,0.410396,0.858466,largeDoses
0.104445,0.060802,0.46941,smallDoses
0.183198,0,0.142604,smallDoses
0.063896,0,0.052287,smallDoses
0.488545,0.550748,0.176883,largeDoses
0.111128,0.054469,0.244468,smallDoses
0.236751,0.272432,0.820803,smallDoses
0.260942,0.117087,0.779883,didntLike
0.171354,0,0.724299,smallDoses
0.096929,0.151456,0.031184,smallDoses
0.558095,0.498515,0.664027,largeDoses
0.31248,0.140687,0.853218,didntLike
0.360468,0.499124,0.574923,largeDoses
0.469471,0.596518,0.96058,largeDoses
0.147897,0.279975,0.214079,smallDoses
0.442026,0.118379,0.056021,didntLike
0.477107,0.087318,0.478234,didntLike
0.775235,0.20672,0.19304,didntLike
0.216712,0.06578,0.694777,smallDoses
0.487373,0.255384,0.232165,didntLike
0.596693,0.565769,0.408499,largeDoses
0.220054,0.593885,0.839908,largeDoses
0.463346,0.581341,0.041299,largeDoses
0.520965,0.389513,0.97266,largeDoses
0.130794,0.073189,0.913973,smallDoses
0.445904,0.153012,0.182088,didntLike
0.776878,0.42366,0.312419,didntLike
0.810634,0.304529,0.217306,didntLike
0.130071,0.118017,0.084931,smallDoses
0.530968,0.52842,0.082835,largeDoses
0.175156,0.097378,0.421449,smallDoses
0.767324,0.638836,0.323907,didntLike
0.361191,0.489936,0.113069,largeDoses
0.692965,0.500219,0.984803,didntLike
0.468868,0.450519,0.007418,largeDoses
0.158415,0.213147,0.157752,smallDoses
0.218827,0,0.339255,smallDoses
0.060193,0.46302,0.607103,largeDoses
0.743944,0.652477,0.620566,didntLike
0.280707,0.630094,0.160449,largeDoses
0.301787,0.185353,0.236339,didntLike
0.642643,0.067591,0.265719,didntLike
0.080276,0.203113,0.843441,smallDoses
0.707274,0.419668,0.49859,didntLike
0.098583,0.19868,0.056631,smallDoses
0.128757,0.26674,0.092805,smallDoses
0.836162,0.718973,0.806051,didntLike
0.303102,0.611581,0.770891,largeDoses
0.73863,0.155592,0.394479,didntLike
0.238932,0.512712,0.346698,largeDoses
0.167914,0.394681,0.451341,smallDoses
0.219747,0.384041,0.954582,largeDoses
0.869271,0.511609,0.120185,didntLike
0.17131,0.242025,0.667744,smallDoses
0.390061,0.514944,0.393992,largeDoses
0.312732,0.09046,0.493326,didntLike
0.631764,0.048757,0.219058,didntLike
0.862544,0.743142,0.430006,didntLike
0.747812,0.556337,0.24078,didntLike
0.163948,0.163862,0.575119,smallDoses
0.239227,0.537597,0.870198,largeDoses
0.082029,0,0.380019,smallDoses
0.095318,0,0.839763,smallDoses
0.287336,0.394016,0.164022,largeDoses
0.721999,0.415886,0.059404,didntLike
0.071686,0.038832,0.152965,smallDoses
0.510074,0.117032,0.693874,didntLike
0.778302,0.632433,0.362963,didntLike
0.522137,0.011288,0.200479,didntLike
0.21474,0.533278,0.19711,largeDoses
0.410001,0.527246,0.297819,largeDoses
0.014933,0.138684,0.971149,smallDoses
0.290721,0.187606,0.673979,didntLike
0.522685,0.120692,0.762348,didntLike
0.416936,0.168623,0.854601,didntLike
0.06887,0.161778,0.524157,smallDoses
0.117746,0,0.653011,smallDoses
0.491745,0.568798,0.239196,largeDoses
0.622561,0.168738,0.811331,didntLike
0.74596,0.54699,0.410634,didntLike
0.769581,0.492756,0.248805,didntLike
0.124999,0.40826,0.428608,smallDoses
0.741413,0.342121,0.997737,didntLike
0.670932,0.03445,0.49955,didntLike
0.194734,0.010966,0.612294,smallDoses
0.584795,0.162497,0.045058,didntLike
0.338873,0.294332,0.341708,didntLike
0.317586,0.059261,0.42425,didntLike
0.149606,0.288578,0.009084,smallDoses
0.07918,0.251378,0.550394,smallDoses
0.442727,0.592418,0.926677,largeDoses
0.149058,0.460225,0.551645,smallDoses
0.289242,0.532065,0.352023,largeDoses
0.147809,0.422699,0.205748,largeDoses
0.331226,0.511011,0.85899,largeDoses
0.473886,0.273179,0.987761,largeDoses
0.60846,0.145918,0.7877,didntLike
0.096491,0,0.034154,smallDoses
0.282482,0.475412,0.759458,largeDoses
0.249932,0.13001,0.673405,didntLike
0.852673,0.533193,0.948635,didntLike
0.418218,0.12849,0.389339,didntLike
0.347047,0.479836,0.567228,largeDoses
0.811171,0.59298,0.65566,didntLike
0.490156,0.48937,0.373159,largeDoses
0.190746,0.226842,0.390332,smallDoses
0.062319,0.221778,0.925585,smallDoses
0.401455,0.150545,0.376846,didntLike
0.328202,0.640884,0.966759,largeDoses
0.661203,0.290098,0.51942,didntLike
0.260296,0.453027,0.529902,largeDoses
0.282449,0.186317,0.329944,smallDoses
0.124265,0.261175,0.709719,smallDoses
0.395615,0.16106,0.928897,didntLike
0.156585,0.250226,0.48679,smallDoses
0.122271,0,0.425537,smallDoses
0.26034,0.620434,0.296815,largeDoses
0.433502,0.257014,0.328336,didntLike
0.280992,0.64667,0.935796,largeDoses
0.162304,0.105017,0.462375,smallDoses
0.806263,0.511094,0.003749,didntLike
0.385514,0.079316,0.263173,didntLike
0.54188,0.400092,0.386896,largeDoses
0.346839,0.628949,0.083862,largeDoses
0.068574,0.391966,0.535513,smallDoses
0.362659,0.212323,0.258637,largeDoses
0.296988,0.470688,0.379711,largeDoses
0.195282,0.000934,0.576496,smallDoses
0.476987,0.394552,0.441195,largeDoses
0.741786,0.288662,0.8903,didntLike
0.386566,0.291194,0.999483,largeDoses
0.781261,0.429594,0.722402,didntLike
0.340232,0.550135,0.957966,largeDoses
0.573959,0.421033,0.42067,largeDoses
0.441839,0,0.481314,didntLike
0.381756,0.424927,0.982233,largeDoses
0.127168,0.151922,0.319646,smallDoses
0.704546,0.335278,0.081891,didntLike
0.358496,0.459145,0.03783,largeDoses
0.363415,0.058823,0.785262,didntLike
0.407481,0.49776,0.525063,largeDoses
0.143405,0,0.334052,smallDoses
0.728485,0.463685,0.071328,didntLike
0.174652,0,0.035432,smallDoses
0.046805,0.212975,0.15993,smallDoses
0.534791,0.144411,0.886262,didntLike
0.315734,0.387167,0.126987,largeDoses
0.387782,0.055344,0.945525,didntLike
0.786552,0.483065,0.070771,didntLike
0.445564,0.536831,0.240472,largeDoses
0.433644,0.433573,0.006034,largeDoses
0.129129,0.027078,0.281924,smallDoses
0.210917,0,0.286919,smallDoses
0.620052,0.428138,0.703704,largeDoses
0.597055,0.072806,0.365549,didntLike
0.129765,0.13141,0.099565,smallDoses
0.498121,0.441476,0.110481,largeDoses
0.340002,0.504584,0.237713,largeDoses
0.182234,0.332533,0.896003,smallDoses
